name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating
Fighter Within,XOne,2013,Fighting,0.11,0.07,0.0,0.02,23.0,30.0,T
Aliens versus Predator: Extinction,PS2,2003,Strategy,0.09,0.07,0.0,0.02,66.0,84.0,T
Shrek: Forever After,PS3,2010,Platform,0.16,0.02,0.0,0.02,57.0,45.0,E10+
Silent Scope 2: Dark Silhouette,PS2,2001,Shooter,0.09,0.07,0.0,0.02,64.0,,M
The Spiderwick Chronicles,Wii,2008,Action,0.17,0.0,0.0,0.01,62.0,,E10+
Dave Mirra Freestyle BMX 2,GBA,2001,Sports,0.14,0.05,0.0,0.0,85.0,,E
X-Men Origins: Wolverine,PSP,2009,Action,0.13,0.03,0.0,0.03,60.0,75.0,T
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,SNES,1996,Sports,0.0,0.0,0.19,0.0,,,unknown
Tokimeki Memorial Girl's Side 3rd Story,DS,2010,Adventure,0.0,0.0,0.19,0.0,,,unknown
NHL Hitz Pro,PS2,2003,Sports,0.09,0.07,0.0,0.02,79.0,89.0,E
Allied General,PS,1996,Strategy,0.11,0.07,0.0,0.01,,,unknown
Marvel Super Hero Squad: Comic Combat,PS3,2011,Action,0.11,0.05,0.0,0.03,,,E10+
Kamen Rider: Battride War,PS3,2013,Action,0.0,0.0,0.19,0.0,,,unknown
Fire ProWrestling G,PS,1999,Fighting,0.0,0.0,0.18,0.01,,,unknown
Space Invaders Extreme 2,DS,2009,Shooter,0.17,0.01,0.0,0.01,82.0,71.0,E
Need for Speed: The Run,3DS,2011,Action,0.09,0.09,0.0,0.02,65.0,60.0,E10+
Supreme Commander 2,PC,2010,Strategy,0.0,0.15,0.0,0.04,77.0,62.0,E10+
Avatar: The Last Airbender - Into the Inferno,Wii,2008,Adventure,0.17,0.01,0.0,0.01,,,unknown
Quantum Theory,PS3,2010,Shooter,0.05,0.09,0.02,0.03,43.0,53.0,M
Dawn of Discovery,Wii,2009,Simulation,0.12,0.06,0.0,0.02,81.0,85.0,E10+
Guitar Hero Live,WiiU,2015,Misc,0.12,0.05,0.0,0.02,84.0,61.0,T
GunGriffon,SAT,1995,Simulation,0.0,0.0,0.19,0.0,,,unknown
SingStar Pop Vol.2,PS2,2008,Misc,0.09,0.07,0.0,0.02,,,unknown
SNK Arcade Classics Vol. 1,PS2,2008,Misc,0.09,0.07,0.0,0.02,69.0,,T
Darkstalkers 3,PS,1998,Fighting,0.11,0.07,0.0,0.01,,,unknown
International Cricket 2010,PS3,2010,Sports,0.0,0.15,0.0,0.04,,,unknown
Frequency,PS2,2001,Misc,0.09,0.07,0.0,0.02,83.0,90.0,E
Inazuma Eleven Strikers 2012 Xtreme,Wii,2011,Role-Playing,0.0,0.0,0.19,0.0,,,unknown
The Polar Express,GBA,2004,Adventure,0.14,0.05,0.0,0.0,,,E
Dynasty Warriors 8: Empires,PS4,2014,Action,0.06,0.07,0.03,0.03,63.0,75.0,T
2002 FIFA World Cup,XB,2002,Sports,0.14,0.04,0.0,0.01,79.0,90.0,E
SpongeBob SquigglePants 3D,3DS,2011,Misc,0.13,0.05,0.0,0.02,64.0,60.0,E
Jampack: Summer 2003 (RP-T),PS2,2003,Misc,0.09,0.07,0.0,0.02,,,unknown
Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,0.14,0.05,0.0,0.0,75.0,,E
Sudeki,XB,2004,Role-Playing,0.14,0.04,0.0,0.01,72.0,84.0,M
Majin and the Forsaken Kingdom,X360,2010,Adventure,0.14,0.03,0.0,0.01,74.0,81.0,T
Silent Hill HD Collection,X360,2012,Action,0.11,0.06,0.01,0.02,69.0,56.0,M
Arc Rise Fantasia,Wii,2009,Role-Playing,0.12,0.0,0.06,0.01,64.0,78.0,T
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009,Adventure,0.0,0.0,0.19,0.0,,,unknown
Hot Wheels: Track Attack,Wii,2010,Racing,0.14,0.03,0.0,0.01,,,E
Quake,N64,1998,Shooter,0.15,0.04,0.0,0.0,,,unknown
SpongeBob's Surf & Skate Roadtrip,X360,2011,Action,0.15,0.03,0.0,0.01,,,unknown
Sesame Street: Elmo's Number Journey,N64,1999,Misc,0.15,0.04,0.0,0.0,,,unknown
Hexen,N64,1996,Shooter,0.15,0.04,0.0,0.0,,,unknown
Mace: The Dark Age,N64,1997,Fighting,0.15,0.04,0.0,0.0,,,unknown
Puyo Puyo Sun 64,N64,1997,Puzzle,0.0,0.0,0.16,0.03,,,unknown
AeroFighters Assault,N64,1997,Action,0.15,0.04,0.0,0.0,,,unknown
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,0.0,0.0,0.19,0.0,,,unknown
South Park: The Stick of Truth,PC,2014,Role-Playing,0.07,0.1,0.0,0.01,85.0,86.0,M
Tottadoo! Yoiko no Mujintou Seikatsu,DS,2008,Adventure,0.0,0.0,0.19,0.0,,,unknown
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Action,0.15,0.04,0.0,0.01,49.0,46.0,T
Barbie Horse Adventures: Riding Camp,PS2,2008,Sports,0.09,0.07,0.0,0.02,,,E
MLB 12: The Show,PSV,2012,Sports,0.17,0.0,0.0,0.02,76.0,78.0,E
God Eater Resurrection,PSV,2015,Action,0.0,0.0,0.19,0.0,,88.0,T
SSX Tricky,GBA,2002,Sports,0.14,0.05,0.0,0.0,66.0,,E
Kenka Banchou 4: Ichinen Sensou,PSP,2010,Action,0.0,0.0,0.19,0.0,,,unknown
Warhammer: Shadow of the Horned Rat,PS,1996,Strategy,0.11,0.07,0.0,0.01,,,unknown
NBA 2K11,PC,2010,Action,0.18,0.0,0.0,0.01,82.0,86.0,E
Pet Zombies,3DS,2099,Simulation,0.18,0.0,0.0,0.01,,,T
Pro Yakyuu Team o Tsukurou!,DS,2008,Sports,0.0,0.0,0.19,0.0,,,unknown
WWE All Stars,Wii,2011,Fighting,0.1,0.07,0.0,0.02,68.0,70.0,T
Naruto: Ninja Destiny,DS,2006,Fighting,0.02,0.01,0.16,0.0,61.0,44.0,T
FaceBreaker,X360,2008,Fighting,0.15,0.02,0.0,0.02,54.0,63.0,T
ESPN International Track & Field,PS2,2000,Sports,0.09,0.07,0.0,0.02,,,unknown
Spider-Man: Shattered Dimensions,DS,2010,Action,0.17,0.01,0.0,0.01,73.0,70.0,E10+
Lunar Legend,GBA,2002,Role-Playing,0.14,0.05,0.0,0.0,79.0,78.0,E
Conflict: Global Terror,PS2,2005,Shooter,0.09,0.07,0.0,0.02,62.0,85.0,M
Dante's Inferno,PSP,2010,Action,0.12,0.03,0.01,0.02,70.0,81.0,M
Mystery Tales of Time Travel,DS,2010,Puzzle,0.01,0.15,0.0,0.02,,,unknown
Injustice: Gods Among Us,WiiU,2013,Fighting,0.09,0.08,0.0,0.02,82.0,79.0,T
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,PS2,2006,Misc,0.0,0.0,0.19,0.0,,,unknown
NASCAR Unleashed,3DS,2011,Racing,0.18,0.0,0.0,0.01,,,E
Tomb Raider: Underworld,DS,2008,Action,0.15,0.02,0.0,0.01,70.0,84.0,T
Death Jr.,PSP,2005,Platform,0.17,0.0,0.0,0.01,61.0,73.0,T
Hulk,GC,2003,Action,0.15,0.04,0.0,0.01,71.0,74.0,T
Boogie,PS2,2007,Misc,0.09,0.07,0.0,0.02,52.0,,E10+
Arcade Shooting Gallery,Wii,2008,Shooter,0.18,0.0,0.0,0.01,,,E10+
Phantasy Star Universe,PS2,2006,Role-Playing,0.0,0.0,0.19,0.0,68.0,85.0,T
Gungrave,PS2,2002,Shooter,0.09,0.07,0.0,0.02,65.0,86.0,M
Schlag den Raab,Wii,2010,Misc,0.0,0.16,0.0,0.02,,,unknown
Transworld Surf,PS2,2002,Sports,0.09,0.07,0.0,0.02,76.0,85.0,T
Tenchu: Fatal Shadows,PS2,2004,Action,0.09,0.07,0.0,0.02,58.0,80.0,M
50 Cent: Blood on the Sand,PS3,2009,Shooter,0.1,0.06,0.01,0.03,72.0,72.0,M
Metro: Last Light,PC,2013,Action,0.06,0.11,0.0,0.02,82.0,86.0,M
Evolve,PC,2015,Shooter,0.08,0.1,0.0,0.02,77.0,43.0,M
FIFA 14,PSP,2013,Sports,0.0,0.15,0.0,0.04,,34.0,E
Resident Evil: Revelations,WiiU,2013,Action,0.07,0.07,0.03,0.01,80.0,75.0,M
Namco Museum Megamix,Wii,2010,Misc,0.17,0.0,0.0,0.01,53.0,,E
Chaotic: Shadow Warriors,Wii,2009,Action,0.18,0.0,0.0,0.01,,,E10+
The Legend of Spyro: A New Beginning,GC,2006,Platform,0.15,0.04,0.0,0.01,67.0,73.0,E10+
International Soccer,2600,1981,Sports,0.18,0.01,0.0,0.0,,,unknown
Princess Maker: Yumemiru Yosei,PS,1997,Strategy,0.0,0.0,0.18,0.01,,,unknown
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,0.0,0.0,0.19,0.0,,,unknown
Armored Core: For Answer,PS3,2008,Simulation,0.06,0.02,0.1,0.01,62.0,76.0,T
Big Air,PS,1999,Sports,0.1,0.07,0.0,0.01,,,unknown
Shining Force II,GEN,1993,Strategy,0.0,0.0,0.19,0.0,,,unknown
Taiko no Tatsujin: Wii U Version!,WiiU,2013,Misc,0.0,0.0,0.19,0.0,,,unknown
Gallop Racer,PS,1999,Sports,0.0,0.0,0.18,0.01,,,unknown
The Walking Dead: Season Two,PS3,2014,Adventure,0.09,0.06,0.0,0.03,,,unknown
Harry Potter and the Prisoner of Azkaban,XB,2004,Action,0.14,0.04,0.0,0.01,67.0,88.0,E
3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,0.0,0.0,0.19,0.0,,,unknown
Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,0.17,0.0,0.0,0.01,,,E
Sudoku Gridmaster (JP sales),DS,2006,Puzzle,0.0,0.0,0.19,0.0,,,unknown
Monsters vs. Aliens,PS2,2009,Action,0.11,0.0,0.0,0.08,64.0,,E10+
College Slam,PS,1995,Sports,0.1,0.07,0.0,0.01,,,unknown
Street Fighter X Tekken,PSV,2012,Fighting,0.1,0.04,0.01,0.03,79.0,75.0,T
Nobunaga no Yabou: Souzou,PS3,2013,Strategy,0.0,0.0,0.19,0.0,,,unknown
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,0.02,0.02,0.13,0.01,80.0,73.0,T
Pro Yaky? Spirits 4,PS2,2007,Sports,0.0,0.0,0.19,0.0,,,unknown
Rock Band Track Pack Volume 2,X360,2008,Misc,0.17,0.01,0.0,0.01,,,T
Need for Speed: Shift 2 Unleashed,PC,2011,Racing,0.05,0.11,0.0,0.03,,,unknown
Tamagotchi Party On!,Wii,2006,Misc,0.12,0.0,0.06,0.01,,,unknown
Daigasso! Band Brothers,DS,2004,Misc,0.0,0.0,0.19,0.0,,,unknown
Rise of the Kasai,PS2,2005,Action,0.09,0.07,0.0,0.02,68.0,80.0,M
Thoroughbred Breeder,SNES,1993,Simulation,0.0,0.0,0.19,0.0,,,unknown
Momotarou Dentetsu World,DS,2010,Misc,0.0,0.0,0.19,0.0,,,unknown
Singstar: Ultimate Party,PS4,2014,Misc,0.0,0.16,0.0,0.03,47.0,41.0,unknown
Beyblade: Metal Fusion - Battle Fortress,Wii,2009,Action,0.15,0.0,0.03,0.01,,,unknown
Risen,X360,2009,Role-Playing,0.07,0.11,0.0,0.01,60.0,64.0,M
Nostalgia,DS,2008,Role-Playing,0.16,0.0,0.02,0.01,72.0,76.0,E10+
Dynasty Warriors Gundam,X360,2007,Action,0.15,0.01,0.02,0.01,55.0,68.0,T
Chibi-Robo! Park Patrol,DS,2007,Adventure,0.0,0.0,0.19,0.0,78.0,75.0,E
Jurassic: The Hunted,PS3,2009,Shooter,0.17,0.0,0.0,0.02,,45.0,T
Farmtopia,DS,2010,Simulation,0.18,0.0,0.0,0.01,,,E
DanceDanceRevolution,PS3,2010,Simulation,0.12,0.05,0.0,0.02,60.0,,E10+
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,0.04,0.13,0.0,0.01,82.0,74.0,M
"Ni Hao, Kai-lan: Super Game Day",Wii,2009,Misc,0.17,0.0,0.0,0.01,,85.0,E
One Piece: Unlimited Adventure,Wii,2007,Adventure,0.07,0.0,0.11,0.01,67.0,85.0,T
Shaun White Skateboarding,PS3,2010,Sports,0.11,0.05,0.0,0.03,61.0,65.0,T
Crash & Spyro Superpack,GBA,2005,Platform,0.13,0.05,0.0,0.0,,,unknown
Reel Fishing Paradise 3D,3DS,2011,Sports,0.12,0.0,0.06,0.01,57.0,,E
Conflict: Denied Ops,PS3,2008,Shooter,0.05,0.1,0.0,0.03,51.0,31.0,M
Binary Domain,X360,2012,Action,0.09,0.06,0.02,0.02,74.0,80.0,M
Kuma-Tomo,3DS,2013,Misc,0.0,0.0,0.19,0.0,,,unknown
IL-2 Sturmovik: Birds of Prey,PSP,2009,Simulation,0.08,0.07,0.0,0.04,,30.0,T
ThunderStrike 2,PS,1994,Simulation,0.1,0.07,0.0,0.01,,,unknown
Magical ZhuZhu Princess: Carriages & Castles,DS,2011,Simulation,0.13,0.04,0.0,0.01,,,unknown
Pro Yaky? Spirits 2012,PS3,2012,Sports,0.0,0.0,0.19,0.0,,,unknown
Super Real Mahjong P V,SAT,1995,Misc,0.0,0.0,0.19,0.0,,,unknown
Thomas the Tank Engine & Friends,GBA,2004,Adventure,0.13,0.05,0.0,0.0,,,unknown
Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009,Action,0.0,0.0,0.19,0.0,,,unknown
The Scorpion King: Sword of Osiris,GBA,2002,Action,0.13,0.05,0.0,0.0,72.0,,E
Jeep Thrills,Wii,2008,Racing,0.17,0.0,0.0,0.01,,57.0,E
Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,0.13,0.03,0.0,0.02,67.0,73.0,E10+
Bubsy 3D,PS,1996,Platform,0.1,0.07,0.0,0.01,,,unknown
NCAA Final Four 2001,PS2,2000,Sports,0.09,0.07,0.0,0.02,49.0,,E
Robin Hood: Defender of the Crown,PS2,2003,Strategy,0.09,0.07,0.0,0.02,59.0,56.0,T
Face Training,DS,2007,Misc,0.0,0.0,0.19,0.0,,,unknown
Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,0.17,0.0,0.0,0.01,,,E
SD Gundam GX,SNES,1994,Strategy,0.0,0.0,0.19,0.0,,,unknown
R-Type Final,PS2,2003,Shooter,0.09,0.07,0.0,0.02,79.0,91.0,E
Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001,Action,0.13,0.05,0.0,0.0,,,unknown
Bolt,PS3,2008,Adventure,0.12,0.04,0.0,0.02,59.0,68.0,E10+
Mathews Bowhunting,Wii,2010,Sports,0.18,0.0,0.0,0.01,,,T
Phantasy Star Nova,PSV,2014,Role-Playing,0.0,0.0,0.19,0.0,,,unknown
Pro Evolution Soccer 2014,3DS,2013,Action,0.0,0.0,0.19,0.0,,,E
Sega GT 2002,XB,2002,Racing,0.12,0.03,0.03,0.01,82.0,82.0,E
F1 2011,PC,2011,Racing,0.0,0.15,0.0,0.04,83.0,72.0,E
Air Conflicts: Secret Wars,PS3,2011,Simulation,0.1,0.06,0.0,0.03,51.0,,T
Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005,Action,0.09,0.07,0.0,0.02,68.0,81.0,E10+
Family Feud: 2012 Edition,Wii,2011,Misc,0.17,0.0,0.0,0.01,,,E10+
Samurai Warriors 2: Empires,PS2,2006,Action,0.0,0.0,0.19,0.0,55.0,73.0,T
Blood Omen 2,XB,2002,Action,0.14,0.04,0.0,0.01,76.0,90.0,M
Earth Defense Force: Insect Armageddon,X360,2011,Shooter,0.1,0.04,0.03,0.01,68.0,82.0,T
Major League Baseball 2K10,PS3,2010,Sports,0.17,0.0,0.0,0.01,74.0,53.0,E
Saints Row IV,PC,2013,Action,0.11,0.06,0.0,0.02,86.0,74.0,M
J-League Pro Soccer Club o Tsukurou! 5,PS2,2007,Sports,0.0,0.0,0.19,0.0,,,unknown
Harry Potter: Quidditch World Cup,XB,2003,Sports,0.14,0.04,0.0,0.01,69.0,75.0,E
Dance Central: Spotlight,XOne,2014,Misc,0.15,0.03,0.0,0.0,74.0,70.0,T
Little Battlers eXperience W,PSP,2012,Role-Playing,0.0,0.0,0.19,0.0,,,unknown
Warriors: Legends of Troy,PS3,2011,Action,0.06,0.04,0.07,0.02,44.0,70.0,M
La Pucelle: Tactics,PS2,2002,Role-Playing,0.09,0.07,0.0,0.02,79.0,85.0,T
Arcania: Gothic 4,PC,2010,Role-Playing,0.09,0.08,0.0,0.02,63.0,44.0,T
NBA Ballers: Chosen One,X360,2008,Sports,0.17,0.0,0.0,0.01,55.0,42.0,E
Tiger Woods PGA Tour 07,XB,2006,Sports,0.13,0.05,0.0,0.01,81.0,68.0,E
Disney's Meet the Robinsons,Wii,2007,Action,0.17,0.0,0.0,0.01,62.0,63.0,E10+
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,0.06,0.02,0.1,0.02,69.0,77.0,T
Star Wars: The Clone Wars & Tetris Worlds,XB,2002,Misc,0.14,0.04,0.0,0.01,,,unknown
The Lord of the Rings: War in the North,PC,2011,Action,0.05,0.11,0.0,0.03,66.0,71.0,M
The Bee Game,DS,2007,Adventure,0.17,0.0,0.0,0.01,,,E
SBK X: Superbike World Championship,X360,2010,Racing,0.1,0.07,0.0,0.02,74.0,83.0,E10+
Rango: The Video Game,PS3,2011,Action,0.07,0.09,0.0,0.03,65.0,64.0,E10+
EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,0.09,0.07,0.0,0.02,77.0,85.0,T
Godzilla (2015),PS4,2014,Action,0.11,0.03,0.02,0.03,,,unknown
Fairy Fencer F,PS3,2013,Role-Playing,0.05,0.03,0.09,0.02,65.0,74.0,T
Shadows of the Damned,X360,2011,Action,0.1,0.06,0.01,0.02,76.0,84.0,M
Treasures of the Deep,PS,1997,Action,0.1,0.07,0.0,0.01,,,unknown
Phantasy Star Online Ver. 2,DC,2001,Role-Playing,0.0,0.0,0.19,0.0,80.0,89.0,T
Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,0.11,0.05,0.0,0.02,,74.0,T
Hot Wheels: Battle Force 5,Wii,2009,Racing,0.17,0.0,0.0,0.01,,,E10+
Go Play: Lumberjacks,Wii,2009,Simulation,0.17,0.0,0.0,0.01,,,E
Fight Club,PS2,2004,Fighting,0.09,0.07,0.0,0.02,36.0,44.0,M
Samurai Warriors: State of War,PSP,2005,Action,0.07,0.0,0.11,0.01,64.0,64.0,T
Cabela's Survival: Shadows of Katmai,X360,2011,Sports,0.14,0.03,0.0,0.01,,35.0,T
Dragon Blade: Wrath of Fire,Wii,2007,Action,0.17,0.0,0.0,0.01,51.0,75.0,T
Guilty Gear Xrd: Sign,PS3,2014,Fighting,0.1,0.0,0.07,0.02,,,unknown
Dance Dance Revolution: Disney Grooves,Wii,2009,Simulation,0.17,0.0,0.0,0.01,,,E
Camping Mama: Outdoor Adventures,DS,2011,Simulation,0.12,0.05,0.0,0.02,51.0,,E
Harvest Moon: A Wonderful Life Special Edition,PS2,2004,Simulation,0.09,0.07,0.0,0.02,,89.0,E
Sports Illustrated for Kids: Football,GBA,2003,Sports,0.13,0.05,0.0,0.0,,,unknown
The Munchables,Wii,2009,Action,0.17,0.0,0.0,0.01,71.0,82.0,E
How to Train Your Dragon 2,Wii,2014,Adventure,0.04,0.13,0.0,0.01,,,E10+
.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,0.09,0.07,0.0,0.02,,,unknown
The Smurfs 2,DS,2013,Platform,0.0,0.17,0.0,0.01,,,E
Close Combat: First to Fight,XB,2005,Shooter,0.14,0.04,0.0,0.01,69.0,78.0,T
Indiana Jones and the Emperor's Tomb,XB,2003,Action,0.14,0.04,0.0,0.01,73.0,86.0,T
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,0.09,0.07,0.0,0.02,72.0,89.0,T
Remington Super Slam Hunting: North America,Wii,2010,Sports,0.17,0.0,0.0,0.01,,,T
Reel Fishing II,PS,2000,Sports,0.1,0.07,0.0,0.01,,,unknown
Battle of Giants: Dinosaurs Strike,Wii,2010,Strategy,0.14,0.03,0.0,0.01,,,E10+
Ty the Tasmanian Tiger,XB,2002,Platform,0.14,0.04,0.0,0.01,68.0,85.0,E
Imagine: Babyz Fashion,DS,2009,Simulation,0.17,0.0,0.0,0.01,,,E
Dead or Alive,SAT,1997,Fighting,0.0,0.0,0.18,0.0,,,unknown
Active Health with Carol Vorderman,DS,2009,Sports,0.0,0.18,0.0,0.01,,,unknown
Driving Emotion Type-S,PS2,2000,Racing,0.04,0.03,0.11,0.01,55.0,,E
Heavy Fire: Afghanistan,PS3,2011,Shooter,0.17,0.0,0.0,0.02,39.0,33.0,T
Siren,PS2,2003,Adventure,0.09,0.07,0.0,0.02,72.0,78.0,M
NARC,XB,2005,Shooter,0.14,0.04,0.0,0.01,51.0,28.0,M
Driver: San Francisco,PC,2011,Racing,0.05,0.1,0.0,0.03,80.0,70.0,T
Just Dance 2017,Wii,2016,Misc,0.06,0.11,0.0,0.01,,,E10+
NASCAR Unleashed,Wii,2011,Racing,0.17,0.0,0.0,0.01,,,E
Super Robot Taisen J,GBA,2005,Strategy,0.0,0.0,0.18,0.0,,,unknown
Shape Up,XOne,2014,Misc,0.08,0.09,0.0,0.01,58.0,83.0,E
Nep League DS,DS,2007,Sports,0.0,0.0,0.18,0.0,,,unknown
Happy Cooking,DS,2006,Simulation,0.17,0.0,0.0,0.01,,,E
Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,0.04,0.03,0.11,0.01,,,unknown
Cars: Race-O-Rama,PS3,2009,Racing,0.14,0.03,0.0,0.02,61.0,,E
Jewel Master: Cradle of Athena,DS,2010,Puzzle,0.17,0.0,0.0,0.01,,,E10+
Saw II: Flesh & Blood,PS3,2010,Action,0.1,0.06,0.0,0.02,,,unknown
Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,0.06,0.11,0.0,0.02,,,E10+
Casper: Friends Around the World,PS,2000,Action,0.1,0.07,0.0,0.01,,,unknown
Jurassic Park III: Island Attack,GBA,2001,Adventure,0.13,0.05,0.0,0.0,57.0,,E
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,0.0,0.0,0.18,0.0,,,unknown
Star Trek: Legacy,X360,2099,Simulation,0.14,0.02,0.0,0.01,64.0,55.0,E10+
Tekken Tag Tournament 2,WiiU,2012,Fighting,0.09,0.07,0.01,0.01,,,unknown
GameBoy Wars,GB,1991,Strategy,0.0,0.0,0.18,0.0,,,unknown
Amplitude,PS2,2003,Misc,0.09,0.07,0.0,0.02,86.0,88.0,T
Disgaea DS,DS,2008,Role-Playing,0.11,0.01,0.05,0.01,82.0,75.0,T
Gauntlet: Seven Sorrows,XB,2005,Role-Playing,0.14,0.04,0.0,0.01,61.0,78.0,T
AirForce Delta Storm,XB,2001,Shooter,0.14,0.04,0.0,0.01,61.0,71.0,E
Metal Gear Solid V: The Phantom Pain,X360,2015,Action,0.12,0.04,0.0,0.02,,72.0,M
Monopoly Party,XB,2002,Misc,0.14,0.04,0.0,0.01,,,unknown
Fear Effect 2: Retro Helix,PS,2001,Action,0.1,0.07,0.0,0.01,84.0,89.0,M
Chaotic: Shadow Warriors,DS,2009,Action,0.17,0.0,0.0,0.01,,,E10+
Ninja Gaiden 3,WiiU,2012,Action,0.14,0.03,0.0,0.02,,,unknown
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,0.06,0.02,0.08,0.02,76.0,77.0,E10+
Mahjong: Journey Quest for Tikal,DS,2008,Puzzle,0.15,0.02,0.0,0.01,,,E
Call of Duty: World at War,PC,2008,Shooter,0.02,0.14,0.0,0.03,83.0,75.0,M
CSI: Fatal Conspiracy,PS3,2010,Adventure,0.11,0.05,0.0,0.02,39.0,56.0,M
Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Role-Playing,0.0,0.0,0.18,0.0,,,unknown
International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,0.0,0.0,0.18,0.0,,,unknown
Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,0.17,0.0,0.0,0.01,,,unknown
Klonoa: Door to Phantomile,PS,1997,Platform,0.0,0.0,0.17,0.01,,,unknown
Vietcong: Purple Haze,PS2,2004,Shooter,0.09,0.07,0.0,0.02,48.0,43.0,M
Atari Anniversary Advance,GBA,2002,Misc,0.13,0.05,0.0,0.0,75.0,,E
Summer Athletics: The Ultimate Challenge,PS2,2008,Sports,0.0,0.0,0.0,0.18,,,E
Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Misc,0.0,0.0,0.18,0.0,,,unknown
X-Men Origins: Wolverine,PS2,2009,Action,0.13,0.0,0.0,0.05,,68.0,T
Syndicate,X360,2012,Shooter,0.1,0.06,0.0,0.02,74.0,71.0,M
Zumba Fitness Rush,X360,2012,Sports,0.0,0.16,0.0,0.02,73.0,62.0,E10+
Call of Juarez,X360,2007,Shooter,0.14,0.02,0.0,0.01,71.0,69.0,M
TalkMan (Japan),PSP,2005,Misc,0.0,0.0,0.18,0.0,,,unknown
Ghostbusters: The Video Game,PSP,2009,Action,0.16,0.01,0.0,0.02,54.0,47.0,E10+
Bloody Roar: Primal Fury,GC,2002,Fighting,0.14,0.04,0.0,0.0,75.0,85.0,T
Mega Man Soccer,SNES,1993,Sports,0.04,0.01,0.13,0.0,,,unknown
MotoGP,Wii,2009,Racing,0.05,0.11,0.0,0.02,44.0,54.0,E
Mushroom Men: The Spore Wars,Wii,2008,Action,0.16,0.01,0.0,0.01,72.0,87.0,E10+
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,0.0,0.12,0.04,0.02,59.0,78.0,T
Brunswick Pro Bowling,PS3,2010,Sports,0.1,0.05,0.0,0.02,47.0,,E
LEGO Harry Potter: Years 5-7,PSV,2012,Action,0.07,0.07,0.0,0.03,64.0,68.0,E10+
FIFA Soccer 07,GC,2006,Sports,0.14,0.04,0.0,0.0,,,unknown
Rabbids Party Collection,Wii,2010,Misc,0.0,0.16,0.0,0.02,,,unknown
Corpse Party: Blood Drive,PSV,2014,Adventure,0.08,0.01,0.06,0.03,60.0,74.0,M
The Last Airbender,DS,2010,Action,0.13,0.04,0.0,0.01,69.0,70.0,E10+
My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,0.13,0.03,0.0,0.01,,,unknown
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Misc,0.13,0.05,0.0,0.0,,,unknown
Vampire Savior: The Lord of Vampire,SAT,1998,Fighting,0.0,0.0,0.18,0.0,,,unknown
Backbreaker,X360,2099,Sports,0.17,0.0,0.0,0.01,54.0,76.0,E
UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Sports,0.11,0.06,0.0,0.02,54.0,,E
MotoGP 14 ,PS4,2014,Racing,0.04,0.11,0.0,0.03,73.0,64.0,E
Shrek SuperSlam,DS,2005,Action,0.17,0.0,0.0,0.01,,,unknown
Alone in the Dark,Wii,2008,Adventure,0.09,0.08,0.0,0.02,39.0,44.0,M
Super Robot Taisen UX,3DS,2013,Role-Playing,0.0,0.0,0.18,0.0,,,unknown
Skylanders Imaginators,WiiU,2016,Platform,0.09,0.08,0.0,0.02,76.0,,E10+
Six Flags Fun Park,DS,2008,Misc,0.17,0.0,0.0,0.01,34.0,70.0,E
Test Drive Off-Road Wide Open,XB,2001,Racing,0.15,0.03,0.0,0.01,64.0,83.0,E
